addr:751	 file:	 ram:01110100
addr:752	 file:	 ram:01100101
addr:753	 file:	 ram:01110110
addr:754	 file:	 ram:01101110
addr:755	 file:	 ram:01101100
addr:756	 file:	 ram:01101101
addr:757	 file:	 ram:01110111
addr:758	 file:	 ram:01100100
addr:759	 file:	 ram:01110101
addr:760	 file:	 ram:01100100
addr:761	 file:	 ram:01100110
addr:762	 file:	 ram:01101110
addr:763	 file:	 ram:01101100
addr:764	 file:	 ram:01100111
addr:765	 file:	 ram:01101111
addr:766	 file:	 ram:01100100
addr:767	 file:	 ram:01100110
addr:768	 file:	 ram:01101110
addr:769	 file:	 ram:01100111
addr:770	 file:	 ram:01101101
addr:771	 file:	 ram:01110101
addr:772	 file:	 ram:01100111
addr:773	 file:	 ram:01111100
addr:774	 file:	 ram:01100111
addr:775	 file:	 ram:01110110
addr:776	 file:	 ram:01101110
addr:777	 file:	 ram:01111100
addr:778	 file:	 ram:01101100
addr:779	 file:	 ram:01101111
addr:780	 file:	 ram:01101110
addr:781	 file:	 ram:01110110
addr:782	 file:	 ram:01101101
addr:783	 file:	 ram:01110101
addr:784	 file:	 ram:01100110
addr:785	 file:	 ram:01100100
addr:786	 file:	 ram:01100111
addr:787	 file:	 ram:01101100
addr:788	 file:	 ram:01100100
addr:789	 file:	 ram:01100111
addr:790	 file:	 ram:01101100
addr:791	 file:	 ram:01100101
addr:792	 file:	 ram:01101111
addr:793	 file:	 ram:01110111
addr:794	 file:	 ram:01101110
addr:795	 file:	 ram:01100100
addr:796	 file:	 ram:01101111
addr:797	 file:	 ram:01110111
addr:798	 file:	 ram:01101110
addr:799	 file:	 ram:01101110
addr:800	 file:	 ram:01100100
addr:801	 file:	 ram:01110111
addr:802	 file:	 ram:01101111
addr:803	 file:	 ram:01101110
addr:804	 file:	 ram:01100100
addr:805	 file:	 ram:01100110
addr:806	 file:	 ram:01101100
addr:807	 file:	 ram:01110101
addr:808	 file:	 ram:01101100
addr:809	 file:	 ram:01101111
addr:810	 file:	 ram:01101101
addr:811	 file:	 ram:01101110
addr:812	 file:	 ram:01101110
addr:813	 file:	 ram:01100110
addr:814	 file:	 ram:01101111
addr:815	 file:	 ram:01100111
addr:816	 file:	 ram:01101110
addr:817	 file:	 ram:01100100
addr:818	 file:	 ram:01100110
addr:819	 file:	 ram:01101111
addr:820	 file:	 ram:01100111
addr:821	 file:	 ram:01101110
addr:822	 file:	 ram:01100100
addr:823	 file:	 ram:01101100
addr:824	 file:	 ram:01110110
addr:825	 file:	 ram:01110110
addr:826	 file:	 ram:01110100
addr:827	 file:	 ram:01110100
addr:828	 file:	 ram:01110100
addr:829	 file:	 ram:01100100
addr:830	 file:	 ram:01100100
addr:831	 file:	 ram:01100111
addr:832	 file:	 ram:01100111
addr:833	 file:	 ram:01100111
addr:834	 file:	 ram:01110110
addr:835	 file:	 ram:01100110
addr:836	 file:	 ram:01110110
addr:837	 file:	 ram:01110110
addr:838	 file:	 ram:01100100
addr:839	 file:	 ram:01100100
addr:840	 file:	 ram:01101100
addr:841	 file:	 ram:01110111
addr:842	 file:	 ram:01100100
addr:843	 file:	 ram:01101100
addr:844	 file:	 ram:01100110
addr:845	 file:	 ram:01101111
addr:846	 file:	 ram:01101110
addr:847	 file:	 ram:01101111
addr:848	 file:	 ram:01101110
addr:849	 file:	 ram:01100110
addr:850	 file:	 ram:01101111
addr:851	 file:	 ram:01100111
addr:852	 file:	 ram:01100110
addr:853	 file:	 ram:01101100
addr:854	 file:	 ram:01100100
addr:855	 file:	 ram:01101111
addr:856	 file:	 ram:01100110
addr:857	 file:	 ram:01101110
addr:858	 file:	 ram:01100111
addr:859	 file:	 ram:01101101
addr:860	 file:	 ram:01100101
addr:861	 file:	 ram:01101111
addr:862	 file:	 ram:01101101
addr:863	 file:	 ram:01110110
addr:864	 file:	 ram:01110101
addr:865	 file:	 ram:01110100
addr:866	 file:	 ram:01101111
addr:867	 file:	 ram:01100101
addr:868	 file:	 ram:01101111
addr:869	 file:	 ram:01100110
addr:870	 file:	 ram:01101100
addr:871	 file:	 ram:01101110
addr:885	 file:	 ram:01110111
addr:886	 file:	 ram:01101111
addr:887	 file:	 ram:01100100
addr:888	 file:	 ram:01100110
addr:889	 file:	 ram:01101110
addr:890	 file:	 ram:01101101
addr:891	 file:	 ram:01110110
addr:892	 file:	 ram:01110101
addr:893	 file:	 ram:01100101
addr:894	 file:	 ram:01101111
addr:895	 file:	 ram:01110110
addr:896	 file:	 ram:01101101
addr:897	 file:	 ram:01110111
addr:898	 file:	 ram:01110100
addr:899	 file:	 ram:01100101
addr:900	 file:	 ram:01101111
addr:901	 file:	 ram:01101101
addr:902	 file:	 ram:01110110
addr:903	 file:	 ram:01101100
addr:904	 file:	 ram:01101100
addr:905	 file:	 ram:01101111
addr:906	 file:	 ram:01101110
addr:907	 file:	 ram:01100101
addr:908	 file:	 ram:01110111
addr:909	 file:	 ram:01100100
addr:910	 file:	 ram:01101101
addr:911	 file:	 ram:01101110
addr:912	 file:	 ram:01111100
addr:913	 file:	 ram:01100110
addr:914	 file:	 ram:01100111
addr:915	 file:	 ram:01110110
addr:916	 file:	 ram:01100100
addr:917	 file:	 ram:01101110
addr:918	 file:	 ram:01100110
addr:919	 file:	 ram:01101100
addr:920	 file:	 ram:01110111
addr:921	 file:	 ram:01101111
addr:922	 file:	 ram:01110101
addr:923	 file:	 ram:01110111
addr:924	 file:	 ram:01101101
addr:925	 file:	 ram:01110110
addr:926	 file:	 ram:01111101
addr:927	 file:	 ram:01100101
addr:928	 file:	 ram:01101110
addr:929	 file:	 ram:01101100
addr:930	 file:	 ram:01101111
addr:931	 file:	 ram:01101110
addr:932	 file:	 ram:01110111
addr:933	 file:	 ram:01101100
addr:934	 file:	 ram:01100100
addr:935	 file:	 ram:01100110
